Вопрос,Категория,Статус,Теги
1. Data Typеs,Python Core,В процессе,
4. Functions Decorators & Closures,Python Core,В процессе,
5. Dataclasses,Python Core,В процессе,
6. Type Annotation,Python Core,В процессе,
"7. Interfaces, ABC",Python Core,В процессе,
8. Descriptors,Python Core,В процессе,
9.Metaprogramming,Python Core,В процессе,
10. Python Interpreter,Python Core,В процессе,
11. Compiler Debugging,Python Core,В процессе,
12. Iterators & Generators,Python Core,Готово,
"13. Classes, objects",Python Core,В процессе,
"14. Modules, packages",Python Core,В процессе,
15. Exceptions,Python Core,В процессе,
16. Context manager,Python Core,В процессе,
17. OOP,Python Core,В процессе,
18. Memory management,Python Core,В процессе,
19. GIL,Python Core,Готово,
"20. SOLID, KISS, DRY, YAGNI, DDD, TDD",Python Core,В процессе,
1. Django/DRF,Frameworks & Libraries,В процессе,
2. FastAPI,Frameworks & Libraries,В процессе,
3. Flask (basic),Frameworks & Libraries,В процессе,
2. Multiprocessing,Python Async & Related,В процессе,
3. Multithreading,Python Async & Related,В процессе,
1. Async,Python Async & Related,В процессе,
21. Other,Python Core,Готово,
1. Unit tests,Testing,В процессе,
2. Integration tests,Testing,В процессе,
3. E2E tests,Testing,В процессе,
4. Pytest,Testing,В процессе,
5. Unittest,Testing,В процессе,
6. Mock & Fixtures,Testing,В процессе,
7. Migrations testing,Testing,В процессе,
4. Celery & Celery beat,Frameworks & Libraries,В процессе,
5. Alemblic,Frameworks & Libraries,В процессе,
6. Pydantic 1.x & 2.x,Frameworks & Libraries,Готово,
7. SQLAlchemy 1.x & 2.x,Frameworks & Libraries,В процессе,
1. DML,SQL Databases,Готово,
2. DDL,SQL Databases,Готово,
"3. Joins, Subquiries, Unions",SQL Databases,Готово,
4. Data aggregation,SQL Databases,Готово,
5. Transactions,SQL Databases,Готово,
6. MVCC & 2PL,SQL Databases,Готово,
10. Indexes,SQL Databases,Готово,
11. Constraints,SQL Databases,Готово,
12. Functions & Procedures,SQL Databases,Готово,
13. Permissions,SQL Databases,Готово,
14. Views,SQL Databases,Готово,
15. Window functions,SQL Databases,Готово,
16. Triggers,SQL Databases,Готово,
1. Horizontal vs Vertical scaliing,NoSQL & General theory,Готово,
3. CAP & PACELC,NoSQL & General theory,Готово,
4. BASE,NoSQL & General theory,Готово,
6. Sharding,NoSQL & General theory,Готово,
"7. Partitioning ",NoSQL & General theory,Готово,
"1. Kafka: Structure ",Message Queues,Не начато,
2. Kafka: Replication,Message Queues,Не начато,
3. Kafka: ISR,Message Queues,Не начато,
4. Kafka: Zookeper,Message Queues,Не начато,
5. Kafka: Broker controller,Message Queues,Не начато,
6. Kafka: Acknowledgements,Message Queues,Не начато,
7. RabbitMQ: Structure,Message Queues,Не начато,
8. RabbitMQ: Acknowledgements,Message Queues,Не начато,
9. RabbitMQ: Router types,Message Queues,Не начато,
10. RabbitMQ: DLQ,Message Queues,Не начато,
1. Docker: Containerisation & Virtualization,Docker & Kubernetes,Проверено,
2. Docker: Docker Best Practice,Docker & Kubernetes,Проверено,
3. Docker: Commands & Docker Compose,Docker & Kubernetes,Проверено,
4. Docker: Networks,Docker & Kubernetes,Проверено,
5. Docker: Volumes,Docker & Kubernetes,Проверено,
"6. Docker: Docker in Docker ",Docker & Kubernetes,Проверено,
7. Kubernetes: Structure,Docker & Kubernetes,В процессе,
8. Kubernetes: Secrets,Docker & Kubernetes,Не начато,
9. Kubernetes: Ingress,Docker & Kubernetes,Не начато,
10. Kubernetes: ArgoCD,Docker & Kubernetes,Не начато,
1. Terraform,Infr as code & CI/CD & General Theory,Не начато,
2. Ansible,Infr as code & CI/CD & General Theory,Не начато,
4. CI/CD: The purpose of different environments,Infr as code & CI/CD & General Theory,Не начато,
5. CI/CD: Continuous Integration & Continues Delivery,Infr as code & CI/CD & General Theory,Не начато,
6. CI/CD: Automation servers,Infr as code & CI/CD & General Theory,Не начато,
7. CI/CD: Continuous Deployment,Infr as code & CI/CD & General Theory,Не начато,
8. Availability,Infr as code & CI/CD & General Theory,Не начато,
9. Monitoring & Logging,Infr as code & CI/CD & General Theory,Проверено,
10. Data Management,Infr as code & CI/CD & General Theory,Не начато,
11. UNIX Systems,Infr as code & CI/CD & General Theory,Не начато,
3. CDK,Infr as code & CI/CD & General Theory,Не начато,
"1. Ref Guru (at least 2 from each type) ",Architecture & Cloud,Не начато,
2. Microservices & Monolith,Architecture & Cloud,Не начато,
3. Cloud Providers,Architecture & Cloud,Не начато,
4. IaaS vs PaaS vs SaaS,Architecture & Cloud,Не начато,
1. HTTP & HTTPS,Web & Networks,Готово,
"2. Caching strategies ",Web & Networks,Готово,
3. DNS & NAT,Web & Networks,Готово,
4. Authentication & Authorisation,Web & Networks,Готово,
5. API Design,Web & Networks,Готово,
6. JSON API,Web & Networks,Готово,
7. CORS,Web & Networks,Готово,
8. Server Security,Web & Networks,Готово,
9. Vulnerabilities & Types of attacks,Web & Networks,Готово,
8. Other,Testing,В процессе,
17. Other,SQL Databases,Готово,
2. Type Casting,Python Core,Не начато,
3. Algorithms,Python Core,Не начато,
7. PostgreSQL Locks,SQL Databases,Готово,
8. Checkpoints in PostgreSQL,SQL Databases,Готово,
9. Types of scans in PostgreSQL,SQL Databases,Готово,
2. NoSQL Database types,NoSQL & General theory,Готово,
5. OLAP vs OLTP,NoSQL & General theory,Готово,
8.  Replication,NoSQL & General theory,Готово,
9. Normalization & Denormalozation,NoSQL & General theory,Готово,
10. Other,Web & Networks,Готово,
10. Other,NoSQL & General theory,Готово,
11. Other,Docker & Kubernetes,Готово,
12. Git,Infr as code & CI/CD & General Theory,В процессе,
